Column Name,Options,Definition
prediction,"correct, over, under","Here we use the term OVER for species predicted as ‘threatened’ by the Bachman model but assessed as ‘not threatened’ on the Red List, UNDER for species predicted as ‘not threatened’ but assessed as ‘threatened’, and CORRECT if predicted the same as assessment"
predicted_threat,"T, NT","T for species predicted as threatened in Bachman model, NT for species predicted as not threatened "
prediction_binomial,"0,1,2","0 is correct, 1 is under, 2 is over"
accuracy_binomial,"0,1"," 0 is correct prediction, 1 is incorrect prediction (over or under)"
category,"LC, NT, VU, EN, CR","IUCN Red List categories. LC = Least Concern, NT = Near Threatened, VU = Vulnerable, EN = Endangered, CR = Critically Endangered"
observed_threat,"T, NT","Using IUCN Red List categories, LC and NT are Not Threatened (NT); VU, EN, CR are Threatened (T)"
threat_binomial,"0,1",0 is Not Threatened (NT) and 1 is Threatened (1) as assessed on IUCN Red List 
confidence,"confident, low_confidence",Confidence level for each species from results in Bachman et al. (2024)
total_flor_regions,0-11,Total Ethiopian floristic regions the species is present in
"mean_eoo, sqrt_eoo",Continuous var.,EOO stands for Extent of Occurrence (minimum convex polygon around all known occurrence points)
"mean_aoo, sqrt_aoo",Continuous var.,AOO stands for Area of Occupancy (area occupied by the species calculated on a 2x2km grid cell)
pa_binomial,"0,1","Presence or absence in protected area (0 = absent, 1 = present)"
protected,"present, absent",Presence or absence in protected area
"II, IV, VI","present, absent","Presence or absence in the IUCN Protected Area Management categories (II = national park, IV = habitat or species management area, VI = protected area with sustainable use of natural resources)"
trop_subtrop_moist_broad,0-1,Proportion of species distribution within tropical and subtropical moist broadleaf forest biome
trop_subtrop_grass_sav_shrub,0-1,"Proportion of species distribution within tropical and subtropical grasslands, savannas, and shrublands biome"
desert_xeric,0-1,Proportion of species distribution within  desert and xeric biome
flooded_grass,0-1,Proportion of species distribution within flooded grassland biome
montane_grass,0-1,Proportion of species distribution within montane grassland biome
hfp_delta_class1-5,0-1,"Proportion of species distribution in different change of Human Footprint (HFP)  (1 = decrease in HFP (human impact), 3 = no change in HFP, 5 = increase in HFP)"
hfp_2009_class1-10,0-1,"Proportion of species distribution in different Human Footprint (HFP)  (1 = lowest HFP, 10 = highest HFP)"
hfp_quant_1to3,0-1,"Proportion of species distribution in HFP 1, 2, and 3 = low HFP areas"
hfp_quant_1to4,0-1,"Proportion of species distribution in HFP 1, 2, 3, 4 = low HFP areas"
new_pred,"over, under, threatened, not_threatened","Whether a species is over-predicted, under-predicted and then splitting correctly predicted into correctly predicted as threatened or correctly predicted as not-threatened"
threatened,0-1,Numeric prediction of extinction risk from Bachman et al. (2024) results
.lower,,Lower confidence interval from Bachman et al. (2024) results
.upper,,Upper confidence interval from Bachman et al. (2024) results
