"taxon","genus","species","family","prediction","predicted_threat","prediction_binomial","accuracy_binomial","category","observed_threat","threat_binomial","confidence","mean_alt","total_flor_regions","mean_eoo","mean_aoo","pa_binomial","protected","II","IV","VI","trop_subtrop_moist_broad","trop_subtrop_grass_sav_shrub","desert_xeric","flooded_grass","montane_grass","hfp_delta_class1","hfp_delta_class2","hfp_delta_class3","hfp_delta_class4","hfp_delta_class5","hfp_2009_class1","hfp_2009_class2","hfp_2009_class3","hfp_2009_class4","hfp_2009_class5","hfp_2009_class6","hfp_2009_class7","hfp_2009_class8","hfp_2009_class9","hfp_2009_class10","hfp_quant_1to3","hfp_quant_1to4","sqrt_eoo","sqrt_aoo","sqrt_desert","new_pred","threatened",".lower",".upper"
"Acalypha marissima","Acalypha","marissima","Euphorbiaceae","correct","T",0,1,"EN","T",1,"confident",1975,1,87,12,0,"absent","absent","absent","absent",0.396465967488354,0.413677698047126,0,0,0.18985633446452,0.0210231654417654,0.0900177034261218,0.308359135307697,0.441945703952982,0.138654291871434,0,0,0.0267923356684043,0.0679414708934618,0.113235419625772,0.237135682455543,0.220627283301116,0.255557647374294,0.075126515650881,0.00358364503052869,0.0267923356684043,0.0947338065618661,9.32737905308882,3.46410161513775,0,"threatened",0.697316344,0.639655533,0.764054469
"Acanthopale aethiogermanica","Acanthopale","aethiogermanica","Acanthaceae","correct","T",0,1,"VU","T",1,"confident",2100,5,53938,52,1,"present","present","absent","present",0.196230947383726,0.569181201777996,0.00716945230637906,0.00203987853841499,0.225378519993484,0.0283261397392947,0.083353614251694,0.619837285349495,0.219043953062947,0.0494390075965687,0.00228824756258991,0.0114917840798046,0.0970161247022871,0.180945291625953,0.192556792082775,0.201314859797016,0.15054556117639,0.113517828649822,0.0410702954700947,0.00925321485326689,0.110796156344682,0.291741447970634,232.245559699211,7.21110255092798,0.0846726183980338,"threatened",0.721942271,0.638163796,0.791708072
"Acanthus sennii","Acanthus","sennii","Acanthaceae","over","T",2,0,"LC","NT",0,"confident",2450,10,282400,324,1,"present","present","absent","present",0.201332872722124,0.536599158428375,0.00574574744863711,0,0.256322221400864,0.0240769206157082,0.0620960815448481,0.531615852855985,0.266706465948509,0.11550467903495,0.000126494230748106,0.000705612588858296,0.0485089063272989,0.155797473166579,0.169408125594533,0.191871487082866,0.161719705272628,0.173632096053147,0.080040902434526,0.0181891972488159,0.0493410131469053,0.205138486313484,531.413210223457,18,0.0758007087607834,"over",0.630689502,0.553463876,0.708175249
"Adenia gedoensis","Adenia","gedoensis","Passifloraceae","correct","T",0,1,"CR","T",1,"confident",1900,1,4,4,1,"present","absent","absent","absent",0.294629819748492,0.097515346326719,0,0,0.607854833924789,0.0274249475471714,0.0900886484503126,0.207448974652241,0.327100758000472,0.347936671349803,0,0,8.25517069583267e-06,0.000371257670600591,0.00712196129537506,0.0604718885648892,0.115582567786186,0.36812739227297,0.3425531562088,0.105763521030484,8.25517069583267e-06,0.000379512841296424,2,2,0,"threatened",0.651048192,0.559079208,0.742322625
"Adenia pulchra","Adenia","pulchra","Passifloraceae","correct","T",0,1,"CR","T",1,"confident",1580,1,12,12,0,"absent","absent","absent","absent",0.106125157666787,0.72425909573767,0,0,0.169615746595543,0.00641992699589689,0.0198846806297776,0.711662548362125,0.236233116715316,0.0257997272968848,0,0,0.137293545227608,0.237275573384101,0.251895298744933,0.188761789559877,0.128359067646039,0.0470758157302159,0.00914181375572341,0.000197095951503971,0.137293545227608,0.374569118611709,3.46410161513775,3.46410161513775,0,"threatened",0.645948872,0.577720785,0.72747203
"Aeollanthus abyssinicus","Aeollanthus","abyssinicus","Lamiaceae","correct","NT",0,1,"LC","NT",0,"low_confidence",2350,5,158891,56,0,"absent","absent","absent","absent",0.344614795801057,0.282747783958441,0.00710490806147435,0,0.365532512179028,0.0301232611895418,0.101698405866163,0.303584114035603,0.354101310799918,0.210492908108774,0.000145104987676789,0.000213734294903618,0.0421001991550387,0.0764369262009078,0.0873942353156909,0.159821836501176,0.157710753015601,0.27569370091813,0.164387232792913,0.0360962768179617,0.0424590384376191,0.118895964638527,398.611339527616,7.48331477354788,0.0842906166869976,"not_threatened",0.367814696,0.271386313,0.436228732
"Aeschynomene ruspoliana","Aeschynomene","ruspoliana","Fabaceae","correct","T",0,1,"CR","T",1,"low_confidence",2000,1,4,4,0,"absent","absent","absent","absent",0.174789642146572,0.675266596759369,0.0222009442662629,0,0.127742816827796,0.0275298038805096,0.0767566483465079,0.658514077148126,0.207759215964408,0.0294402546604485,0.000517375959393034,0.00438923132887204,0.0711583126304248,0.169432091676419,0.209293139617468,0.210743404112641,0.181507802756587,0.108523285355742,0.0283949921619297,0.0160403644005235,0.0760649199186899,0.245497011595109,2,2,0.148999812973919,"threatened",0.45550801,0.4008782,0.516233631
"Afroligusticum mattirolii","Afroligusticum","mattirolii","Apiaceae","over","T",2,0,"NT","NT",0,"confident",2470,5,65877,68,1,"present","present","absent","absent",0.179266023513541,0.597178056126616,0,0,0.223555920359843,0.015397022750273,0.0455433790788353,0.598697195944159,0.24550392911642,0.0948584731103122,0,0,0.044142120033306,0.192429137569851,0.194973972655072,0.177426332697575,0.146421624554144,0.138450955007143,0.0849165754689766,0.0212392820139317,0.044142120033306,0.236571257603157,256.665151510679,8.24621125123532,0,"over",0.604838113,0.530067161,0.686960551
"Afroligusticum petitianum","Afroligusticum","petitianum","Apiaceae","correct","NT",0,1,"NT","NT",0,"low_confidence",2550,8,166147.5,82,1,"present","absent","absent","absent",0.289177847762396,0.382871448752673,0.00951258650132942,0,0.318438116983602,0.0314601833398157,0.0910353167948635,0.390046215577534,0.318482985910628,0.168975298377159,0.000197642677087322,0.00110249424201948,0.0446077541881474,0.088158943920282,0.112889812209205,0.18720007980521,0.181141403063958,0.247404272751911,0.111915096276596,0.0253825008655835,0.0459078911072542,0.134066835027536,407.611947813113,9.05538513813742,0.0975324894654567,"not_threatened",0.367959643,0.271820284,0.435073397
"Afrovivella semiensis","Afrovivella","semiensis","Crassulaceae","under","NT",1,0,"EN","T",1,"confident",3900,1,236,28,1,"present","present","absent","absent",0.208939151719323,0.386744309915332,0,0,0.404316538365345,0.0486378356058628,0.0708329579516687,0.282465695304634,0.321789201102817,0.276274310035017,0,0,0.034972435774538,0.0474542542759659,0.0774137437585838,0.240801248407468,0.182840677927456,0.332216996157976,0.0758567311721663,0.00844391252584521,0.034972435774538,0.0824266900505039,15.3622914957372,5.29150262212918,0,"under",0.280228413,0.201786205,0.372756899
"Alchemilla bachiti","Alchemilla","bachiti","Rosaceae","correct","T",0,1,"EN","T",1,"confident",3800,2,761,12,1,"present","present","absent","absent",0.14486232798992,0.597093840993311,0,0,0.258043831016769,0.0223189513242473,0.0390715121735144,0.550029453945845,0.268453051617401,0.120127030938992,0,0,0.0987420787581548,0.165756702469776,0.186155982072654,0.208368667002616,0.148886073101635,0.154508296819203,0.0342779554134912,0.00330424436247057,0.0987420787581548,0.264498781227931,27.5862284482674,3.46410161513775,0,"threatened",0.62023796,0.542678786,0.694912446
"Alchemilla haumanii","Alchemilla","haumanii","Rosaceae","over","T",2,0,"LC","NT",0,"confident",3625,3,21764,120,1,"present","present","absent","absent",0.158365453417264,0.591057299298352,0.0113925046359917,0,0.239184742648392,0.0153787722882014,0.0574983816619552,0.598934225221107,0.266401689685428,0.061786931143308,0.000232571604549032,0.000342563573381172,0.10630587482761,0.168068820769398,0.195140335239887,0.195887708203246,0.154495885943169,0.125150305821813,0.0484076717256382,0.00596826229130976,0.10688101000554,0.274949830774938,147.52626884728,10.9544511501033,0.106735676491001,"over",0.656560959,0.575911466,0.738170808
"Aloe ankoberensis","Aloe","ankoberensis","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",3250,1,205,12,1,"present","absent","absent","absent",0.294629819748492,0.097515346326719,0,0,0.607854833924789,0.0274249475471714,0.0900886484503126,0.207448974652241,0.327100758000472,0.347936671349803,0,0,8.25517069583267e-06,0.000371257670600591,0.00712196129537506,0.0604718885648892,0.115582567786186,0.36812739227297,0.3425531562088,0.105763521030484,8.25517069583267e-06,0.000379512841296424,14.3178210632764,3.46410161513775,0,"threatened",0.662916634,0.588126287,0.728034305
"Aloe benishangulana","Aloe","benishangulana","Asphodelaceae","correct","T",0,1,"CR","T",1,"confident",1495,1,8,8,0,"absent","absent","absent","absent",0.396465967488354,0.413677698047126,0,0,0.18985633446452,0.0210231654417654,0.0900177034261218,0.308359135307697,0.441945703952982,0.138654291871434,0,0,0.0267923356684043,0.0679414708934618,0.113235419625772,0.237135682455543,0.220627283301116,0.255557647374294,0.075126515650881,0.00358364503052869,0.0267923356684043,0.0947338065618661,2.82842712474619,2.82842712474619,0,"threatened",0.694537284,0.628467291,0.763872337
"Aloe debrana","Aloe","debrana","Asphodelaceae","over","T",2,0,"LC","NT",0,"confident",2350,4,32150,108,0,"absent","absent","absent","absent",0.278161197126124,0.21841304728697,0,0,0.503425755586906,0.0383568187571709,0.0830281770638245,0.253083282624409,0.344621471036403,0.280910250518193,0,4.3347596043449e-09,0.0272111407201173,0.0434175575323895,0.0575284961890339,0.16066876441986,0.159219409711111,0.326289079995551,0.182598933523003,0.0430666135741748,0.027211145054877,0.0706287025872665,179.304210770411,10.3923048454133,0,"over",0.570704949,0.493346982,0.652534856
