plant_name_id,ipni_id,taxon,genus,species,family,prediction,predicted_threat,prediction_binomial,accuracy_binomial,category,observed_threat,threat_binomial,confidence,mean_alt,total_flor_regions,mean_eoo,mean_aoo,pa_binomial,protected,II,IV,VI,trop_subtrop_moist_broad,trop_subtrop_grass_sav_shrub,desert_xeric,flooded_grass,montane_grass,hfp_delta_class1,hfp_delta_class2,hfp_delta_class3,hfp_delta_class4,hfp_delta_class5,hfp_2009_class1,hfp_2009_class2,hfp_2009_class3,hfp_2009_class4,hfp_2009_class5,hfp_2009_class6,hfp_2009_class7,hfp_2009_class8,hfp_2009_class9,hfp_2009_class10,hfp_quant_1to3,hfp_quant_1to4,sqrt_eoo,sqrt_aoo,sqrt_desert,new_pred,threatened,.lower,.upper
870-wcs,931885-1,Acalypha marissima,Acalypha,marissima,Euphorbiaceae,correct,T,0,1,EN,T,1,confident,1975,1,87,12,0,absent,absent,absent,absent,0.396465967,0.413677698,0,0,0.189856334,0.021023165,0.090017703,0.308359135,0.441945704,0.138654292,0,0,0.026792336,0.067941471,0.11323542,0.237135682,0.220627283,0.255557647,0.075126516,0.003583645,0.026792336,0.094733807,9.327379053,3.464101615,0,threatened,0.697316344,0.639655533,0.764054469
895433-az,77098516-1,Acanthopale aethiogermanica,Acanthopale,aethiogermanica,Acanthaceae,correct,T,0,1,VU,T,1,confident,2100,5,53938,52,1,present,present,absent,present,0.196230947,0.569181202,0.007169452,0.002039879,0.22537852,0.02832614,0.083353614,0.619837285,0.219043953,0.049439008,0.002288248,0.011491784,0.097016125,0.180945292,0.192556792,0.20131486,0.150545561,0.113517829,0.041070295,0.009253215,0.110796156,0.291741448,232.2455597,7.211102551,0.084672618,threatened,0.721942271,0.638163796,0.791708072
615295-az,44914-1,Acanthus sennii,Acanthus,sennii,Acanthaceae,over,T,2,0,LC,NT,0,confident,2450,10,282400,324,1,present,present,absent,present,0.201332873,0.536599158,0.005745747,0,0.256322221,0.024076921,0.062096082,0.531615853,0.266706466,0.115504679,0.000126494,0.000705613,0.048508906,0.155797473,0.169408126,0.191871487,0.161719705,0.173632096,0.080040902,0.018189197,0.049341013,0.205138486,531.4132102,18,0.075800709,over,0.630689502,0.553463876,0.708175249
621469-az,674084-1,Adenia gedoensis,Adenia,gedoensis,Passifloraceae,correct,T,0,1,CR,T,1,confident,1900,1,4,4,1,present,absent,absent,absent,0.29462982,0.097515346,0,0,0.607854834,0.027424948,0.090088648,0.207448975,0.327100758,0.347936671,0,0,8.26E-06,0.000371258,0.007121961,0.060471889,0.115582568,0.368127392,0.342553156,0.105763521,8.26E-06,0.000379513,2,2,0,threatened,0.651048192,0.559079208,0.742322625
621572-az,960918-1,Adenia pulchra,Adenia,pulchra,Passifloraceae,correct,T,0,1,CR,T,1,confident,1580,1,12,12,0,absent,absent,absent,absent,0.106125158,0.724259096,0,0,0.169615747,0.006419927,0.019884681,0.711662548,0.236233117,0.025799727,0,0,0.137293545,0.237275573,0.251895299,0.18876179,0.128359068,0.047075816,0.009141814,0.000197096,0.137293545,0.374569119,3.464101615,3.464101615,0,threatened,0.645948872,0.577720785,0.72747203
3664-wcs,444377-1,Aeollanthus abyssinicus,Aeollanthus,abyssinicus,Lamiaceae,correct,NT,0,1,LC,NT,0,low_confidence,2350,5,158891,56,0,absent,absent,absent,absent,0.344614796,0.282747784,0.007104908,0,0.365532512,0.030123261,0.101698406,0.303584114,0.354101311,0.210492908,0.000145105,0.000213734,0.042100199,0.076436926,0.087394235,0.159821837,0.157710753,0.275693701,0.164387233,0.036096277,0.042459038,0.118895965,398.6113395,7.483314774,0.084290617,not_threatened,0.367814696,0.271386313,0.436228732
624380-az,472935-1,Aeschynomene ruspoliana,Aeschynomene,ruspoliana,Fabaceae,correct,T,0,1,CR,T,1,low_confidence,2000,1,4,4,0,absent,absent,absent,absent,0.174789642,0.675266597,0.022200944,0,0.127742817,0.027529804,0.076756648,0.658514077,0.207759216,0.029440255,0.000517376,0.004389231,0.071158313,0.169432092,0.20929314,0.210743404,0.181507803,0.108523285,0.028394992,0.016040364,0.07606492,0.245497012,2,2,0.148999813,threatened,0.45550801,0.4008782,0.516233631
606135-az,77090159-1,Afroligusticum mattirolii,Afroligusticum,mattirolii,Apiaceae,over,T,2,0,NT,NT,0,confident,2470,5,65877,68,1,present,present,absent,absent,0.179266024,0.597178056,0,0,0.22355592,0.015397023,0.045543379,0.598697196,0.245503929,0.094858473,0,0,0.04414212,0.192429138,0.194973973,0.177426333,0.146421625,0.138450955,0.084916575,0.021239282,0.04414212,0.236571258,256.6651515,8.246211251,0,over,0.604838113,0.530067161,0.686960551
606136-az,77090160-1,Afroligusticum petitianum,Afroligusticum,petitianum,Apiaceae,correct,NT,0,1,NT,NT,0,low_confidence,2550,8,166147.5,82,1,present,absent,absent,absent,0.289177848,0.382871449,0.009512587,0,0.318438117,0.031460183,0.091035317,0.390046216,0.318482986,0.168975298,0.000197643,0.001102494,0.044607754,0.088158944,0.112889812,0.18720008,0.181141403,0.247404273,0.111915096,0.025382501,0.045907891,0.134066835,407.6119478,9.055385138,0.097532489,not_threatened,0.367959643,0.271820284,0.435073397
974518-az,77142296-1,Afroligusticum piovanii,Afroligusticum,piovanii,Apiaceae,correct,T,0,1,EN,T,1,confident,2450,2,3236,48,1,present,absent,absent,absent,0.282988292,0.092436822,0,0,0.624574886,0.048786403,0.113196178,0.252414997,0.329049648,0.256552774,0,0,5.66E-06,0.004799043,0.023938479,0.134332778,0.169488677,0.342487778,0.251115695,0.073831887,5.66E-06,0.004804706,56.88585061,6.92820323,0,threatened,0.606719199,0.530067161,0.686960551
606144-az,77090170-1,Afrosciadium abyssinicum,Afrosciadium,abyssinicum,Apiaceae,correct,T,0,1,VU,T,1,low_confidence,2550,3,59408,28,1,present,absent,absent,absent,0.253626787,0.398231004,0.010172981,0,0.337969229,0.022485719,0.072447602,0.416602018,0.290145137,0.198319523,0.000237121,0.002011656,0.048893733,0.104028373,0.120908547,0.141734219,0.144828253,0.230305747,0.160962997,0.046089354,0.05114251,0.155170883,243.7375638,5.291502622,0.100861195,threatened,0.435828698,0.36906538,0.52373149
624952-az,272279-1,Afrovivella semiensis,Afrovivella,semiensis,Crassulaceae,under,NT,1,0,EN,T,1,confident,3900,1,236,28,1,present,present,absent,absent,0.208939152,0.38674431,0,0,0.404316538,0.048637836,0.070832958,0.282465695,0.321789201,0.27627431,0,0,0.034972436,0.047454254,0.077413744,0.240801248,0.182840678,0.332216996,0.075856731,0.008443913,0.034972436,0.08242669,15.3622915,5.291502622,0,under,0.280228413,0.201786205,0.372756899
938901-az,720401-1,Alchemilla bachiti,Alchemilla,bachiti,Rosaceae,correct,T,0,1,EN,T,1,confident,3800,2,761,12,1,present,present,absent,absent,0.144862328,0.597093841,0,0,0.258043831,0.022318951,0.039071512,0.550029454,0.268453052,0.120127031,0,0,0.098742079,0.165756702,0.186155982,0.208368667,0.148886073,0.154508297,0.034277955,0.003304244,0.098742079,0.264498781,27.58622845,3.464101615,0,threatened,0.62023796,0.542678786,0.694912446
939519-az,720628-1,Alchemilla haumanii,Alchemilla,haumanii,Rosaceae,over,T,2,0,LC,NT,0,confident,3625,3,21764,120,1,present,present,absent,absent,0.158365453,0.591057299,0.011392505,0,0.239184743,0.015378772,0.057498382,0.598934225,0.26640169,0.061786931,0.000232572,0.000342564,0.106305875,0.168068821,0.195140335,0.195887708,0.154495886,0.125150306,0.048407672,0.005968262,0.10688101,0.274949831,147.5262688,10.95445115,0.106735676,over,0.656560959,0.575911466,0.738170808
297062-wcs,994718-1,Aloe ankoberensis,Aloe,ankoberensis,Asphodelaceae,correct,T,0,1,EN,T,1,confident,3250,1,205,12,1,present,absent,absent,absent,0.29462982,0.097515346,0,0,0.607854834,0.027424948,0.090088648,0.207448975,0.327100758,0.347936671,0,0,8.26E-06,0.000371258,0.007121961,0.060471889,0.115582568,0.368127392,0.342553156,0.105763521,8.26E-06,0.000379513,14.31782106,3.464101615,0,threatened,0.662916634,0.588126287,0.728034305
