genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Acalypha,marissima,Acalypha marissima,Euphorbiaceae,correct,EN,confident,1900-2050,1900,2050,1975,150,NA,NA,87,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopale,aethiogermanica,Acanthopale aethiogermanica,Acanthaceae,correct,VU,confident,1600-2600,1600,2600,2100,1000,NA,NA,53938,text,52,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthus,sennii,Acanthus sennii,Acanthaceae,over,LC,confident,1700-3200,1700,3200,2450,1500,"AR, BA, GG, GJ, GD, HA, KF, SU, SD, WU",text,282400,text,324,text,yes,not present,present,present,present,present,present,present,not present,present,present,present,not present,not present,present,10,1
Adenia,pulchra,Adenia pulchra,Passifloraceae,correct,CR,confident,1520-1640,1520,1640,1580,120,NA,NA,12,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenia,gedoensis,Adenia gedoensis,Passifloraceae,correct,CR,confident,1800-2000,1800,2000,1900,200,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeollanthus,abyssinicus,Aeollanthus abyssinicus,Lamiaceae,correct,LC,low_confidence,1600-3100,1600,3100,2350,1500,NA,NA,158891,text,56,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene,ruspoliana,Aeschynomene ruspoliana,Fabaceae,correct,CR,low_confidence,2000,2000,2000,2000,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afroligusticum,mattirolii,Afroligusticum mattirolii,Apiaceae,over,NT,confident,1400-3540,1400,3540,2470,2140,"AR, BA, HA, SU",text,65877,text,68,text,yes,not present,present,present,not present,not present,not present,present,not present,not present,not present,present,not present,not present,not present,4,1
Afroligusticum,petitianum,Afroligusticum petitianum,Apiaceae,correct,NT,low_confidence,1750-3350,1750,3350,2550,1600,NA,NA,166147.5,text,82,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afroligusticum,piovanii,Carum piovanii,Apiaceae,correct,EN,confident,2200-2700,2200,2700,2450,500,NA,NA,3236,text,48,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afrosciadium,abyssinicum,Peucedanum abyssinicum,Apiaceae,correct,VU,low_confidence,2100-3000,2100,3000,2550,900,NA,NA,59408,text,28,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afrovivella,semiensis,Afrovivella semiensis,Crassulaceae,under,EN,confident,3600-4200,3600,4200,3900,600,GD,mapped,236,text,28,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,0
