"total_flor_regions","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
1,0.00495456992878751,0.0197756639125013,0.936749536450453,0.0385202297082578,-5.3024780258654,-3.9033293734276,2.69531348639758,-3.21728997480676,0.00260932805941355,0.00674031683699088,0.0155764961358851,0.0128484289361648,0.529273088793833,0.34771526609236,0.26289514878395,0.346913345758596,0.00176148644110458,0.0101022971191109,0.89844349409315,0.01989429076163,0.0138554835494978,0.0383528049990051,0.961230430320158,0.0732807767987611,-6.33983421788759,-4.58483877184339,2.18004846307074,-3.8972276382499,-4.26512183384322,-3.22181997501182,3.21057850972443,-2.53735231136362
2,0.016131669871832,0.0585917540807964,0.861387669880686,0.0638889061666852,-4.1107076646327,-2.77678291680066,1.82686361377272,-2.68458842553118,0.00679786323306977,0.014103532260758,0.0226008914377502,0.0164807406235822,0.428307930407357,0.255689797044978,0.189288859308682,0.275564887964832,0.00703235957586955,0.0363362797956801,0.810899310050615,0.0382472521110595,0.036571129382058,0.0931606302677903,0.900057439832653,0.104847125673877,-4.95017578252401,-3.27792571022317,1.45586426685304,-3.22468568134607,-3.2712395467414,-2.27564012337815,2.19786296069241,-2.1444911697163
3,0.046721761182529,0.154421740493647,0.704596255720896,0.0942602426029283,-3.01569678767226,-1.70033329010199,0.869281906542103,-2.26269252603401,0.0156992742892231,0.0261144805094792,0.0345407299043109,0.0213481646157159,0.352485042685753,0.199995000585868,0.165949207971292,0.250050978461696,0.0239731702577949,0.10984588347094,0.632748803553793,0.0599296443923913,0.0890866083665453,0.212763030924731,0.767551409785004,0.145219091111981,-3.7065547764254,-2.09231628833836,0.544027435655425,-2.75278343811793,-2.32483879891912,-1.30835029186562,1.19453637742878,-1.77260161395008
4,0.107590821899037,0.323591069124102,0.458245439593752,0.110572669383109,-2.11558940149086,-0.737317234179912,-0.167408123413898,-2.08490486059662,0.0290670905803223,0.0426843086492213,0.0503264022265149,0.0261987363450033,0.302734774739945,0.195012473842727,0.202719327531456,0.266392552794472,0.0624479622765408,0.246097609646776,0.362453574176676,0.068687690600546,0.179131883337862,0.412146279430192,0.557226749224515,0.173247373443085,-2.708938656849,-1.11953465944772,-0.564730704345731,-2.60702466982347,-1.52224014613273,-0.355099808912108,0.229914457517934,-1.56278505136977
5,0.18304040328655,0.500956861666697,0.220176868751466,0.0958258662952871,-1.49588272895098,0.00382745133926284,-1.26463596693244,-2.24448931600689,0.0395968222947347,0.0524836558779136,0.0485427870878685,0.0275728456200132,0.264796836185983,0.209935392365809,0.282720241733247,0.318234130975093,0.117649968485848,0.39947853385204,0.139583034902347,0.0537472732259787,0.273509218548238,0.602356421429263,0.329485169894488,0.165099824338318,-2.01487499109566,-0.407638356778007,-1.81875745843006,-2.86821675136948,-0.976890466806303,0.415293259456533,-0.710514475434816,-1.62076188064431
6,0.244086808532008,0.607896633650265,0.0829222040043492,0.0650943538133778,-1.1304026087927,0.438479362370967,-2.40328943906408,-2.66460779655135,0.0446373865031681,0.0520138015063697,0.0292728343285497,0.0249519928308092,0.241925989306217,0.218216852181653,0.384935317862173,0.410009702661894,0.167344025487813,0.502695521704722,0.040787037360701,0.0302303539683204,0.341585561999887,0.703949491813117,0.161267130346261,0.134586123369478,-1.6045688347571,0.0107821912752264,-3.15774879845141,-3.46821204708064,-0.656236382828291,0.866176533466707,-1.64883007967674,-1.86100354602206
7,0.285869666129275,0.6478665653038,0.0274281428657908,0.0388356257011343,-0.915529491999797,0.609674577798777,-3.56837436368127,-3.20880742587392,0.0507165679417391,0.0539259322600753,0.0132756361103689,0.0195096534291459,0.248430149826542,0.236376790354145,0.497665160221536,0.522662790333578,0.197428629263475,0.536530935335775,0.0105212615942381,0.0142983768577576,0.39445702266375,0.745160286838832,0.0695923242717349,0.10115949449812,-1.40244363833371,0.146384581923478,-4.54378015407583,-4.23320767098694,-0.428615345665886,1.07296457367408,-2.5929685732867,-2.1844071807609
8,0.316596983402351,0.652914524125005,0.00857900461889897,0.0219094878537448,-0.769455134476186,0.631875145720374,-4.74982136788325,-3.79868243562536,0.0614738963173431,0.0627699740307117,0.00523317334579818,0.0137777840163321,0.28412344791556,0.276986867491582,0.615276187559235,0.642936527780736,0.209767594797877,0.522233044599375,0.0025842289091913,0.00631297737861255,0.447053393251629,0.764004227391069,0.0280885630976643,0.0731994826920543,-1.32632685955402,0.0889908612463062,-5.95574053604446,-5.05881487442084,-0.212583409398348,1.17475943019444,-3.54390219972204,-2.53854999682988
9,0.342518747636809,0.642785347597052,0.00262129728233611,0.0120746074838027,-0.65208985629939,0.587473970624487,-5.94146119892591,-4.40450248875608,0.0764955477258813,0.0770033820589286,0.00192211837964821,0.00914733491768244,0.339678796015605,0.335362553013965,0.735197063793346,0.766827025640713,0.211176542549806,0.482550950020205,0.000621706236684696,0.00271172247264398,0.503417034352335,0.776393643682812,0.0109814952873139,0.0520770368581166,-1.3178480628019,-0.0698245550462886,-7.38242096550046,-5.90745584138385,0.0136683502031235,1.24477249629526,-4.50050143235135,-2.90154913612831
10,0.366592105876146,0.626032375532276,0.000792349593042407,0.00658316899853536,-0.546864795291142,0.515232859792247,-7.13971519451606,-5.01663410523416,0.0944767329487849,0.0946564157603014,0.000677978730481355,0.00584055261609968,0.406872452178211,0.404314443789255,0.856334575792387,0.893073952411715,0.206800509513835,0.431138186646547,0.000148007421503835,0.00114978841852625,0.562321851818794,0.787123773501105,0.00422993280444171,0.0367476437045387,-1.34432014786193,-0.277208888464037,-8.81810012178553,-6.76702688749196,0.250590557279647,1.30767460804853,-5.4613302672466,-3.26624132297636
