"total_flor_regions","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
1,0.00486559684438914,0.0231041901819175,0.936952565578233,0.0350776473954599,-5.32068841719925,-3.74436600915118,2.69874528682756,-3.31448353320775,0.00267343805866991,0.00768545370065635,0.0159134177857352,0.0125284279854056,0.552143882217493,0.340510503624373,0.269388121226031,0.370146592525077,0.00165405411674907,0.0119884069926178,0.897592320236472,0.0172938784337644,0.0142238902909602,0.0440669552718527,0.961828107366964,0.0698491056734649,-6.40287054062966,-4.41175433261255,2.17075427136163,-4.03995752355713,-4.23850629376883,-3.07697768568982,3.22673630229349,-2.58900954285838
2,0.0142251499754044,0.0633254450087417,0.864521211982064,0.0579281930337904,-4.23841645865325,-2.69404867208155,1.85336075945595,-2.78887730748664,0.00655460709603809,0.0149656552625653,0.0228754127753814,0.016230480926197,0.467425150048185,0.252306688672138,0.195308877037055,0.297411255225135,0.00573992360203472,0.0395984806996405,0.813142852191045,0.0331887392728021,0.0348147132111558,0.0997921058890186,0.903449944612431,0.0992163793839894,-5.15455291821592,-3.1885606949375,1.47056239460235,-3.37179265632475,-3.32227999909058,-2.1995366492256,2.23615912430954,-2.20596195864853
3,0.0375178948351692,0.156576515950072,0.719605671763256,0.0862999174515032,-3.2446974591933,-1.68392437511655,0.942506456318272,-2.35967373879045,0.0148331462204921,0.0270955682770714,0.0348592889405603,0.0211657777014671,0.410773248455119,0.205175712167786,0.172764585241413,0.268423284428159,0.0171274295639973,0.110458980987657,0.646546706818947,0.0528613167200784,0.0802026596573463,0.217246127471057,0.782640164358648,0.137813085793157,-4.04979823197786,-2.08606138146777,0.603894091441102,-2.8857737088816,-2.43959668640874,-1.28178736876534,1.28111882119544,-1.83357376869931
4,0.0815319778529626,0.318994289216432,0.493538924104318,0.105934808826287,-2.4217117791639,-0.758397491511552,-0.0258457422380952,-2.13295479944847,0.0284942110955393,0.0461740107106676,0.0534130485310383,0.0266217252492744,0.380508724780981,0.212551384078605,0.213687876154568,0.281078950347938,0.0404074274268943,0.235954103991735,0.39062965073793,0.0639325198107676,0.157635371167392,0.41537122520456,0.596998616002338,0.170505322485096,-3.16749517553788,-1.17499054916976,-0.444666283433903,-2.68385941894275,-1.67592838278991,-0.341804433853347,0.392974798957713,-1.58205017995419
5,0.136756153908278,0.501612760050597,0.261262829921066,0.100368256120059,-1.84249776603051,0.00645106257469313,-1.03941528968318,-2.19313952296221,0.0429701431460464,0.0614910420588646,0.0572869286482231,0.0296152515695256,0.363987467872781,0.245966727268351,0.296816446061925,0.327985222179547,0.0720311103745872,0.383283416900429,0.165044287990879,0.0554106355197619,0.244328073215313,0.619761723927193,0.387539719807212,0.175042899742335,-2.55590009388509,-0.47563486426646,-1.62116483398373,-2.83597874589549,-1.12909543817593,0.488536989415846,-0.457665745382635,-1.55030030002893
6,0.183279540817708,0.630234904627631,0.110505031491789,0.0759805230628715,-1.49428434830533,0.533224687730878,-2.08559279676698,-2.49825611840219,0.054226762526801,0.0658730630551763,0.0393574961666738,0.0290579005548956,0.36226489712383,0.282669853160303,0.400407232369689,0.413886087915142,0.0993640721174974,0.494800676421705,0.0536375348401452,0.0352481475509608,0.313402873531524,0.747863038448465,0.214028887972153,0.15616362225444,-2.20431049953114,-0.0207980439785412,-2.87037655136093,-3.30945794441805,-0.784258197079513,1.0872474194403,-1.30080904217303,-1.68705429238633
7,0.215139002319765,0.69354457880021,0.0409378029334664,0.0503786159465585,-1.29422228744473,0.816743218484009,-3.15390201568029,-2.93649656378595,0.0643975676955124,0.0699887227782919,0.0201735906184898,0.0250020999405113,0.38137969395324,0.329295941666936,0.513821058506726,0.522612471223146,0.114892443658145,0.542729280275836,0.0153529927705711,0.0186918636330405,0.366622982932345,0.811861505960178,0.104627702622746,0.128734462558463,-2.04171275202799,0.171335032561611,-4.16097278485172,-3.96079818525479,-0.546731822861471,1.46215140440641,-2.14683124650886,-1.91219494231711
8,0.237275107567318,0.717090843240187,0.0142493441574934,0.0313847050350008,-1.16767714652941,0.930076686391011,-4.23669255646091,-3.42954684719453,0.0758235131763642,0.0784889400564135,0.00887719041807873,0.0194464900239779,0.418970845968971,0.386889802689451,0.631994916652875,0.639693372556172,0.12037911844898,0.542841347273648,0.00417116577094967,0.00916348652167716,0.414229143005118,0.844009252898619,0.0475160692959796,0.101947470621551,-1.98884491520087,0.171786607133879,-5.47537983151294,-4.68332281855359,-0.346509377857948,1.68836676564814,-2.99800528140888,-2.17577087583547
9,0.254651023974726,0.721496438581455,0.00482642364542402,0.0190261137983949,-1.07395845846934,0.951896594926799,-5.32881142322487,-3.94273339367005,0.0892301400922305,0.0905922992943456,0.00361404298969146,0.0141914382273639,0.470117576676834,0.450844044982191,0.752435085304793,0.760359321793041,0.119689691707087,0.517058003456205,0.0011085900502059,0.00435090817151589,0.461937545780548,0.862419746186362,0.0207535556012201,0.0792590950170396,-1.99537197725518,0.0682585041173492,-6.80355709112658,-5.43301027969371,-0.152544939683497,1.83553468573625,-3.85406575532315,-2.45245650764639
10,0.269952706664648,0.717039726877007,0.00161474896775738,0.0113928174905873,-0.994862534280169,0.929824736013506,-6.42695971823036,-4.46331395402712,0.104603552188745,0.105336015122649,0.00140890586541803,0.0099479151502516,0.530771690913975,0.519168340625152,0.873934340526331,0.883236830812595,0.115560906393604,0.478082426179313,0.000291598940284229,0.00203661731513943,0.511355762891767,0.875160237757276,0.00888840175959047,0.0610997438733775,-2.03515593248499,-0.0877265135252149,-8.13983955051473,-6.19442633223911,0.0454308639246481,1.94737598555223,-4.71407988594598,-2.73220157581514
